Term,Course,Section,Cr,Days,Times,Title,DistReq,Diversity,Room,Reg,Max,Exam,Faculty
Spring,ES231,B,4,MW, 1:00pm- 2:15pm,Environmental and Natural Resource Economics (See EC231),, , ,0, , ,Meredith   
Spring,ES234,A,4,MWF, 9:00am- 9:50am,International Environmental Policy,,I ,DIAM 122,37,30,10,Abrahams   
Spring,ES242,A,4,MWF,10:00am-10:50am,Marine Conservation and Policy,, ,DIAM 242,21,22,11,McClenacha 
Spring,ES243,A,4,TR, 9:30am-10:45am,Environmental Ethics (See PL243),, , ,0, , ,Peterson   
Spring,ES244,A,4,TR, 9:30am-10:45am,Marine Communities,, ,DIAM 242,18,18,8,McClenacha 
Spring,ES276,A,4,MWF,11:00am-11:50am,Global Change Ecology,, ,KEYE 102,24,24,0,Bruesewitz 
Spring,ES298,A,4,TR, 1:00pm- 2:15pm,Seafood Forensics: Uncovering Fraud in Ocean Food Systems,N, ,DIAM 344,21,20,7,Rasher     
Spring,ES319,A,4,TR,11:00am-12:15pm,Conservation Biology,, ,DIAM 223,14,24,6,Nyhus      
Spring,ES319,A,4,R, 1:00pm- 4:00pm,Conservation Biology,, ,DIAM 222,14,24,6,Nyhus      
Spring,ES338,A,4,MWF, 9:00am- 9:50am,Forest Ecosystems,"N,Lb", ,DIAM 223,12,16,10,Becknell   
Spring,ES338,A,4,M, 1:00pm- 4:00pm,Forest Ecosystems,"N,Lb", ,OLIN 229,12,16,10,Becknell   
Spring,ES366,A,4,TR, 9:30am-10:45am,The Environment and Human Health,N, ,DIAM 141,40,34,0,Carlson    
Spring,ES382,A,4,TR, 9:30am-10:45am,Ecological Modeling (See BI382),, , ,0, , ,"Moore, C   "
Spring,ES382,A,4,M, 1:00pm- 4:00pm,Ecological Modeling (See BI382),, , ,0, , ,"Moore, C   "
Spring,ES398,A,4,MW, 2:30pm- 3:45pm,Life in Times of Extinction (See EN398),L, , ,0, , ,Walker     
Spring,ES398B,A,4,TR,11:00am-12:15pm,Environmental Security,, ,DIAM 344,8,16,0,Abrahams   
Spring,ES402,A,1,T, 7:00pm- 8:15pm,Environmental Studies Colloquium,, ,OLIN 001,53,60, ,Nyhus      
Spring,ES402,A,1,W,12:00n -12:50pm,Environmental Studies Colloquium,, ,DANA FAIR,53,60, ,Nyhus      
Spring,FR125,A,4,MTWR, 9:00am- 9:50am,French I,, ,LOVE 102,10,18,9,Billard    
Spring,FR126,A,4,MTWR,10:00am-10:50am,French II,, ,LOVE 203,16,18,17,Dionne     
Spring,FR126,B,4,MTWR,11:00am-11:50am,French II,, ,LOVE 203,15,18,17,Dionne     
Spring,FR127,A,4,MTWR, 8:00am- 8:50am,French III,, ,LOVE 103,13,18,9,Maurer     
Spring,FR127,B,4,MTWR,10:00am-10:50am,French III,, ,LOVE 103,18,18,9,Maurer     
Spring,FR128,A,4,MWF, 1:00pm- 1:50pm,French IV: Reading in Cultural Contexts,L, ,LOVE 318,11,18,0,Mailhe     
Spring,FR131,A,4,TR,11:00am-12:15pm,Conversation and Composition,, ,LOVE 307,8,15,6,Niang      
Spring,FR231,A,4,MWF, 9:00am- 9:50am,Advanced Grammar and Composition,, ,LOVE 103,4,19,10,Maurer     
Spring,FR234,A,1,M, 4:00pm- 4:50pm,Intensive Spoken French,, ,LOVE 318,5,15, ,Billard    
Spring,FR243,A,4,TR, 1:00pm- 2:15pm,French Pronunciation through Phonetics,, ,LOVE 307,2,20,0,Mailhe     
Spring,FR252,A,4,MWF,11:00am-11:50am,Provocative Texts: A Critical Toolbox,L,I ,LOVE 307,8,19,1,Paliyenko  
